task,policy,budget,k,genotype_id,R_0,R_k_oracle,R_k_adaptive,R_B_pi,delta
MA90,greedy_ssm,384,1,0000111010011101,8.81866,9.51986,9.51986,9.88814,0.06023
MA90,greedy_ssm,384,1,0000111011000001,8.94194,9.63099,9.63099,9.98268,0.06023
MA90,greedy_ssm,384,1,0000111100001111,8.89332,9.57734,9.57734,9.96637,0.06023
MA90,greedy_ssm,384,1,0000111100011100,8.89521,9.7033,9.7033,9.9856,0.06023
MA90,greedy_ssm,384,1,0000111100100010,9.33834,9.75872,9.75872,10.00518,0.06023
MA90,greedy_ssm,384,1,0000111101010100,9.53707,9.84949,9.84949,10.07623,0.06023
MA90,greedy_ssm,384,1,0000111101011001,9.58788,9.86182,9.86182,10.04652,0.06023
MA90,greedy_ssm,384,1,0001000000011101,8.27196,8.9875,8.9875,9.82168,0.06023
MA90,greedy_ssm,384,1,0001000001101111,8.97541,9.78418,9.78418,10.00784,0.06023
MA90,greedy_ssm,384,1,0001000100011011,8.4001,9.2983,9.2983,9.89878,0.06023
MA90,greedy_ssm,384,1,0001000110000110,8.43908,9.03246,9.03246,9.83001,0.06023
MA90,greedy_ssm,384,1,0001000110001000,8.56106,9.15251,9.15251,9.88532,0.06023
MA90,greedy_ssm,384,1,0001000110001111,8.54754,9.18315,9.18315,9.96331,0.06023
MA90,greedy_ssm,384,1,0001000110011111,8.49197,9.16415,9.16415,9.96787,0.06023
MA90,greedy_ssm,384,1,0001000111001010,8.60265,9.48513,9.48513,9.95839,0.06023
MA90,greedy_ssm,384,1,0001000111111111,8.82291,9.9106,9.9106,10.11496,0.06023
MA90,greedy_ssm,384,1,0001001001011110,8.53672,9.34243,9.34243,9.83069,0.06023
MA90,greedy_ssm,384,1,0001001011011010,8.48186,9.25755,9.25755,9.84729,0.06023
MA90,greedy_ssm,384,1,0001001011110100,8.92394,9.75656,9.75656,10.02803,0.06023
MA90,greedy_ssm,384,1,0001001100000000,8.63916,9.33844,9.33844,9.97753,0.06023
MA90,greedy_ssm,384,1,0001001100011011,8.69822,9.41329,9.41329,9.99174,0.06023
MA90,greedy_ssm,384,1,0001001101100000,9.31162,9.94536,9.94536,10.05405,0.06023
MA90,greedy_ssm,384,1,0001010001100100,8.9489,9.72479,9.72479,9.99476,0.06023
MA90,greedy_ssm,384,1,0001010010000100,8.45455,8.93465,8.93465,9.85614,0.06023
MA90,greedy_ssm,384,1,0001010010001110,8.31537,8.95762,8.95762,9.84115,0.06023
MA90,greedy_ssm,384,1,0001010100001010,8.47188,9.16464,9.16464,9.86496,0.06023
MA90,greedy_ssm,384,1,0001010110100011,9.15264,9.71336,9.71336,10.08421,0.06023
MA90,greedy_ssm,384,1,0001010111100111,9.23327,9.90529,9.90529,10.15082,0.06023
MA90,greedy_ssm,384,1,0001011000010110,8.43743,9.18761,9.18761,9.74393,0.06023
MA90,greedy_ssm,384,1,0001011000100011,8.85678,9.56751,9.56751,9.98199,0.06023
MA90,greedy_ssm,384,1,0001011011000010,8.56526,9.20183,9.20183,9.91962,0.06023
MA90,greedy_ssm,384,1,0001011011011110,8.53128,9.3712,9.3712,9.86854,0.06023
MA90,greedy_ssm,384,1,0001011100000011,8.68322,9.4207,9.4207,9.98199,0.06023
MA90,greedy_ssm,384,1,0001011100010100,8.64996,9.4335,9.4335,9.89374,0.06023
MA90,greedy_ssm,384,1,0001011111001110,8.85762,9.5025,9.5025,9.98794,0.06023
MA90,greedy_ssm,384,1,0001011111010011,8.96353,9.679,9.679,10.05986,0.06023
MA90,greedy_ssm,384,1,0001011111110011,9.62441,9.96847,9.96847,10.10994,0.06023
MA90,greedy_ssm,384,1,0001100001000110,8.92753,9.60758,9.60758,9.95496,0.06023
MA90,greedy_ssm,384,1,0001100010110100,9.48854,9.80643,9.80643,10.02014,0.06023
MA90,greedy_ssm,384,1,0001100011001010,9.00658,9.73733,9.73733,10.00549,0.06023
MA90,greedy_ssm,384,1,0001100011111011,9.7614,9.91809,9.91809,10.19812,0.06023
MA90,greedy_ssm,384,1,0001100110000011,9.17197,9.79976,9.79976,10.05412,0.06023
MA90,greedy_ssm,384,1,0001100111001010,9.48513,9.81112,9.81112,10.19812,0.06023
MA90,greedy_ssm,384,1,0001100111100110,9.779,9.94322,9.94322,10.06836,0.06023
MA90,greedy_ssm,384,1,0001101001000000,9.28547,9.77643,9.77643,10.05405,0.06023
MA90,greedy_ssm,384,1,0001101100010110,9.25167,9.69985,9.69985,9.88073,0.06023
MA90,greedy_ssm,384,1,0001101110011000,9.31745,9.85541,9.85541,10.02353,0.06023
MA90,greedy_ssm,384,1,0001101111010111,9.75504,9.93397,9.93397,10.08996,0.06023
MA90,greedy_ssm,384,1,0001101111110011,9.92587,10.07151,10.07151,10.08996,0.06023
MA90,greedy_ssm,384,1,0001110000101011,9.54137,9.85766,9.85766,10.0359,0.06023
MA90,greedy_ssm,384,1,0001110000111011,9.6289,9.86793,9.86793,9.99814,0.06023
MA90,greedy_ssm,384,1,0001110001011111,9.18886,9.78892,9.78892,10.0772,0.06023
MA90,greedy_ssm,384,1,0001110100100100,9.75647,9.90661,9.90661,10.02071,0.06023
MA90,greedy_ssm,384,1,0001110101000000,9.55826,9.99476,9.99476,10.12511,0.06023
MA90,greedy_ssm,384,1,0001110101001110,9.47574,9.90936,9.90936,9.98569,0.06023
MA90,greedy_ssm,384,1,0001110101100101,9.99258,9.99258,9.99258,10.10183,0.06023
MA90,greedy_ssm,384,1,0001110110010100,9.04283,9.75813,9.75813,10.06922,0.06023
MA90,greedy_ssm,384,1,0001110111000110,9.40479,9.79478,9.79478,10.06278,0.06023
MA90,greedy_ssm,384,1,0001110111001100,9.49,9.81464,9.81464,10.10059,0.06023
MA90,greedy_ssm,384,1,0001111000001101,9.31439,9.79252,9.79252,10.01752,0.06023
MA90,greedy_ssm,384,1,0001111001001101,9.43772,9.79529,9.79529,10.12863,0.06023
MA90,greedy_ssm,384,1,0001111001010100,9.45542,9.77083,9.77083,10.07623,0.06023
MA90,greedy_ssm,384,1,0001111010010100,9.33595,9.7357,9.7357,9.82623,0.06023
MA90,greedy_ssm,384,1,0001111100001100,9.35268,9.84217,9.84217,10.06257,0.06023
MA90,greedy_ssm,384,1,0001111100010111,9.41603,9.78926,9.78926,10.03377,0.06023
MA90,greedy_ssm,384,1,0001111100101111,9.84935,10.03289,10.03289,10.12863,0.06023
MA90,greedy_ssm,384,1,0001111101000111,9.69604,9.9507,9.9507,10.11338,0.06023
MA90,greedy_ssm,384,1,0001111101101011,9.98977,10.09796,10.09796,10.12967,0.06023
MA90,greedy_ssm,384,1,0001111101110001,9.95558,10.06744,10.06744,10.11399,0.06023
MA90,greedy_ssm,384,1,0010000001101011,9.90199,10.03111,10.03111,10.11306,0.06023
MA90,greedy_ssm,384,1,0010000011101000,9.79055,10.00762,10.00762,10.03565,0.06023
MA90,greedy_ssm,384,1,0010000011101111,10.00352,10.05404,10.05404,10.11306,0.06023
MA90,greedy_ssm,384,1,0010000100001001,9.67425,9.90657,9.90657,9.99062,0.06023
MA90,greedy_ssm,384,1,0010000100110011,9.88543,9.94512,9.94512,10.10533,0.06023
MA90,greedy_ssm,384,1,0010000111101100,9.96862,10.06675,10.06675,10.15374,0.06023
MA90,greedy_ssm,384,1,0010001000001110,9.61737,9.73015,9.73015,9.99226,0.06023
MA90,greedy_ssm,384,1,0010001001101101,9.92505,10.08391,10.08391,10.15374,0.06023
MA90,greedy_ssm,384,1,0010001010110100,9.68153,9.92277,9.92277,10.01695,0.06023
MA90,greedy_ssm,384,1,0010001101100000,10.03392,10.08475,10.08475,10.08475,0.06023
MA90,greedy_ssm,384,1,0010001110001111,9.67088,9.94294,9.94294,10.12959,0.06023
MA90,greedy_ssm,384,1,0010001110010111,9.64862,10.03843,10.03843,10.0403,0.06023
MA90,greedy_ssm,384,1,0010001110101001,9.96797,10.08817,10.08817,10.16949,0.06023
MA90,greedy_ssm,384,1,0010001111101110,9.98061,10.10122,10.10122,10.12959,0.06023
MA90,greedy_ssm,384,1,0010010010100011,9.70551,9.93299,9.93299,10.06745,0.06023
MA90,greedy_ssm,384,1,0010010010101110,9.49712,9.83578,9.83578,10.10307,0.06023
MA90,greedy_ssm,384,1,0010010011011001,9.71001,10.03565,10.03565,10.09328,0.06023
MA90,greedy_ssm,384,1,0010010100011010,9.51028,9.73437,9.73437,9.97949,0.06023
MA90,greedy_ssm,384,1,0010010100111100,9.87095,9.99055,9.99055,10.04506,0.06023
MA90,greedy_ssm,384,1,0010010101011101,9.88462,9.93236,9.93236,10.10752,0.06023
MA90,greedy_ssm,384,1,0010010110010111,9.64994,9.86158,9.86158,10.16834,0.06023
MA90,greedy_ssm,384,1,0010010111011000,9.79985,9.90633,9.90633,10.09203,0.06023
MA90,greedy_ssm,384,1,0010011001000111,9.67848,9.87815,9.87815,10.13303,0.06023
MA90,greedy_ssm,384,1,0010011001010001,9.70936,9.90553,9.90553,10.05762,0.06023
MA90,greedy_ssm,384,1,0010011011110011,9.86726,10.06269,10.06269,10.11246,0.06023
MA90,greedy_ssm,384,1,0010011111101110,9.96849,10.07864,10.07864,10.15374,0.06023
MA90,greedy_ssm,384,1,0010100011111001,9.79291,10.01271,10.01271,10.03565,0.06023
MA90,greedy_ssm,384,1,0010100100001000,9.35232,9.742,9.742,9.96536,0.06023
MA90,greedy_ssm,384,1,0010100101111010,9.68949,9.89983,9.89983,10.04652,0.06023
MA90,greedy_ssm,384,1,0010101000010000,9.53933,9.8339,9.8339,10.08631,0.06023
MA90,greedy_ssm,384,1,0010101101010100,9.81083,9.93071,9.93071,10.07623,0.06023
MA90,greedy_ssm,384,1,0010101110011010,9.45104,9.75775,9.75775,10.01773,0.06023
MA90,greedy_ssm,384,1,0010101110111010,9.73054,9.88789,9.88789,9.95744,0.06023
MA90,greedy_ssm,384,1,0010101111001001,9.74896,10.02627,10.02627,10.12917,0.06023
MA90,greedy_ssm,384,1,0010101111101011,10.05233,10.12917,10.12917,10.19812,0.06023
MA90,greedy_ssm,384,1,0010110000110101,9.58905,9.82235,9.82235,9.99492,0.06023
MA90,greedy_ssm,384,1,0010110001100100,9.56273,9.87757,9.87757,10.07258,0.06023
MA90,greedy_ssm,384,1,0010110010010010,9.10092,9.37929,9.37929,9.74584,0.06023
MA90,greedy_ssm,384,1,0010110101011010,9.60239,9.7148,9.7148,9.97949,0.06023
MA90,greedy_ssm,384,1,0010111000011111,9.55176,9.751,9.751,9.88814,0.06023
MA90,greedy_ssm,384,1,0010111010101010,9.42706,9.73493,9.73493,10.01761,0.06023
MA90,greedy_ssm,384,1,0010111011101011,9.84002,10.03935,10.03935,10.12967,0.06023
MA90,greedy_ssm,384,1,0010111011110010,9.68599,9.90516,9.90516,10.03451,0.06023
MA90,greedy_ssm,384,1,0010111100001111,9.54382,9.84077,9.84077,10.09096,0.06023
MA90,greedy_ssm,384,1,0010111100010000,9.6274,9.81702,9.81702,10.01351,0.06023
MA90,greedy_ssm,384,1,0010111101110011,9.92721,10.07638,10.07638,10.07638,0.06023
MA90,greedy_ssm,384,1,0010111111010100,9.79332,9.94747,9.94747,10.09203,0.06023
MA90,greedy_ssm,384,1,0010111111101110,9.94314,10.02564,10.02564,10.14135,0.06023
MA90,greedy_ssm,384,1,0011000000011001,8.96251,9.71911,9.71911,9.89878,0.06023
MA90,greedy_ssm,384,1,0011000011010100,8.9548,9.67905,9.67905,10.02014,0.06023
MA90,greedy_ssm,384,1,0011000100101010,9.43878,9.89955,9.89955,10.0359,0.06023
MA90,greedy_ssm,384,1,0011000101110010,9.57931,9.8529,9.8529,10.10533,0.06023
MA90,greedy_ssm,384,1,0011000110000100,9.10807,9.77307,9.77307,9.99079,0.06023
MA90,greedy_ssm,384,1,0011000110011011,9.15392,9.77138,9.77138,10.10183,0.06023
MA90,greedy_ssm,384,1,0011000110011111,9.16415,9.7234,9.7234,10.05404,0.06023
MA90,greedy_ssm,384,1,0011001000000100,9.21697,9.82858,9.82858,9.87413,0.06023
MA90,greedy_ssm,384,1,0011001000110011,9.39733,9.83894,9.83894,10.01884,0.06023
MA90,greedy_ssm,384,1,0011001001010100,9.13271,9.83221,9.83221,10.0576,0.06023
MA90,greedy_ssm,384,1,0011001001110011,9.54775,9.91015,9.91015,10.11399,0.06023
MA90,greedy_ssm,384,1,0011001011011000,9.12204,9.71672,9.71672,10.02353,0.06023
MA90,greedy_ssm,384,1,0011001011011001,9.19677,9.78576,9.78576,10.05803,0.06023
MA90,greedy_ssm,384,1,0011001100000001,9.34526,9.84597,9.84597,10.04708,0.06023
MA90,greedy_ssm,384,1,0011001100010100,9.38328,9.87085,9.87085,10.0576,0.06023
MA90,greedy_ssm,384,1,0011001101100000,9.81739,10.05405,10.05405,10.14511,0.06023
MA90,greedy_ssm,384,1,0011001101110001,9.8526,10.11399,10.11399,10.11399,0.06023
MA90,greedy_ssm,384,1,0011001111011110,9.31719,9.81362,9.81362,10.02395,0.06023
MA90,greedy_ssm,384,1,0011001111100110,9.76216,9.96732,9.96732,10.12511,0.06023
MA90,greedy_ssm,384,1,0011010000101100,9.25468,9.9104,9.9104,9.96525,0.06023
MA90,greedy_ssm,384,1,0011010000111000,9.25134,9.77784,9.77784,9.99983,0.06023
MA90,greedy_ssm,384,1,0011010001000100,8.90383,9.45379,9.45379,9.96816,0.06023
MA90,greedy_ssm,384,1,0011010011111000,9.44357,9.92631,9.92631,9.99279,0.06023
MA90,greedy_ssm,384,1,0011010100100101,9.52479,9.95033,9.95033,10.05151,0.06023
MA90,greedy_ssm,384,1,0011010101101000,9.56299,9.89361,9.89361,10.07411,0.06023
MA90,greedy_ssm,384,1,0011010110010010,8.92686,9.64308,9.64308,9.94754,0.06023
MA90,greedy_ssm,384,1,0011010111000000,9.2111,9.78367,9.78367,10.06029,0.06023
MA90,greedy_ssm,384,1,0011010111011011,9.46087,9.88384,9.88384,10.28605,0.06023
MA90,greedy_ssm,384,1,0011011000100111,9.3882,9.80303,9.80303,10.07046,0.06023
MA90,greedy_ssm,384,1,0011011010010011,9.32523,9.74584,9.74584,9.91696,0.06023
MA90,greedy_ssm,384,1,0011011010111101,9.36061,9.76911,9.76911,10.06886,0.06023
MA90,greedy_ssm,384,1,0011011011111011,9.61761,9.95698,9.95698,10.08487,0.06023
MA90,greedy_ssm,384,1,0011011110100011,9.77707,9.98255,9.98255,10.12967,0.06023
MA90,greedy_ssm,384,1,0011011111011101,9.54751,9.92697,9.92697,10.14135,0.06023
MA90,greedy_ssm,384,1,0011011111111101,9.89291,10.06886,10.06886,10.14135,0.06023
MA90,greedy_ssm,384,1,0011100000000001,9.65979,9.85016,9.85016,10.01603,0.06023
MA90,greedy_ssm,384,1,0011100000111011,9.84399,9.91602,9.91602,10.028,0.06023
MA90,greedy_ssm,384,1,0011100000111101,9.80329,9.9914,9.9914,10.00348,0.06023
MA90,greedy_ssm,384,1,0011100010001011,9.72644,9.80762,9.80762,10.19812,0.06023
MA90,greedy_ssm,384,1,0011100100010011,9.77767,9.86786,9.86786,9.97682,0.06023
MA90,greedy_ssm,384,1,0011100100011101,9.82168,9.9406,9.9406,10.01539,0.06023
MA90,greedy_ssm,384,1,0011100101010010,9.61807,9.78689,9.78689,10.08552,0.06023
MA90,greedy_ssm,384,1,0011100101010101,9.83401,9.94884,9.94884,10.11399,0.06023
MA90,greedy_ssm,384,1,0011100101011010,9.66313,9.85401,9.85401,10.10183,0.06023
MA90,greedy_ssm,384,1,0011100110010010,9.54037,9.81594,9.81594,10.08552,0.06023
MA90,greedy_ssm,384,1,0011100111100111,10.05937,10.06836,10.06836,10.06997,0.06023
MA90,greedy_ssm,384,1,0011101000101010,9.76264,9.86512,9.86512,10.07903,0.06023
MA90,greedy_ssm,384,1,0011101001111100,9.93482,10.0343,10.0343,10.07644,0.06023
MA90,greedy_ssm,384,1,0011101100001100,9.7871,9.96681,9.96681,10.06295,0.06023
MA90,greedy_ssm,384,1,0011101101011000,9.90737,9.9931,9.9931,10.11399,0.06023
MA90,greedy_ssm,384,1,0011101101110111,10.02279,10.11338,10.11338,10.11338,0.06023
MA90,greedy_ssm,384,1,0011110001000100,9.45379,9.87568,9.87568,10.00656,0.06023
MA90,greedy_ssm,384,1,0011110001000111,9.71281,9.98974,9.98974,10.0772,0.06023
MA90,greedy_ssm,384,1,0011110001010100,9.63328,9.96911,9.96911,10.06922,0.06023
MA90,greedy_ssm,384,1,0011110001101110,9.90291,10.0772,10.0772,10.0772,0.06023
MA90,greedy_ssm,384,1,0011110010000001,9.62198,9.80696,9.80696,10.04796,0.06023
MA90,greedy_ssm,384,1,0011110010101010,9.67991,9.87062,9.87062,10.07701,0.06023
MA90,greedy_ssm,384,1,0011110011100000,9.93814,9.95238,9.95238,10.1149,0.06023
MA90,greedy_ssm,384,1,0011110011110100,9.99279,10.06922,10.06922,10.07271,0.06023
MA90,greedy_ssm,384,1,0011110100000111,9.87554,9.88621,9.88621,10.07046,0.06023
MA90,greedy_ssm,384,1,0011110100010111,9.77731,9.90661,9.90661,10.06412,0.06023
MA90,greedy_ssm,384,1,0011110101111010,9.88393,9.95778,9.95778,10.28605,0.06023
MA90,greedy_ssm,384,1,0011110110010110,9.63135,9.79026,9.79026,10.06922,0.06023
MA90,greedy_ssm,384,1,0011110111101001,9.98692,10.10219,10.10219,10.14135,0.06023
MA90,greedy_ssm,384,1,0011111010010100,9.7357,9.82623,9.82623,10.03417,0.06023
MA90,greedy_ssm,384,1,0011111010100100,9.77572,9.95398,9.95398,10.10496,0.06023
MA90,greedy_ssm,384,1,0011111011100101,10.03852,10.09803,10.09803,10.14135,0.06023
MA90,greedy_ssm,384,1,0011111011111101,9.90975,10.06886,10.06886,10.14135,0.06023
MA90,greedy_ssm,384,1,0011111100111000,9.87411,10.02054,10.02054,10.07644,0.06023
MA90,greedy_ssm,384,1,0011111110110001,9.98684,10.04518,10.04518,10.1149,0.06023
MA90,greedy_ssm,384,1,0011111110110010,9.8215,9.93119,9.93119,10.10994,0.06023
MA90,greedy_ssm,384,1,0011111111011001,9.96297,10.01451,10.01451,10.11002,0.06023
MA90,greedy_ssm,384,1,0011111111111000,9.96085,10.03451,10.03451,10.1149,0.06023
MA90,greedy_ssm,384,1,0100000000000101,8.63163,9.37714,9.37714,9.88471,0.06023
MA90,greedy_ssm,384,1,0100000000010011,8.6021,9.61962,9.61962,9.92476,0.06023
MA90,greedy_ssm,384,1,0100000000101010,8.94239,9.56663,9.56663,10.02705,0.06023
MA90,greedy_ssm,384,1,0100000010111011,9.16188,9.7023,9.7023,10.11273,0.06023
MA90,greedy_ssm,384,1,0100000101101110,9.6458,9.86711,9.86711,10.06853,0.06023
MA90,greedy_ssm,384,1,0100000101111110,9.66001,9.91714,9.91714,10.06107,0.06023
MA90,greedy_ssm,384,1,0100000110111101,9.45993,9.93873,9.93873,10.104,0.06023
MA90,greedy_ssm,384,1,0100000111101011,9.63554,10.00569,10.00569,10.11306,0.06023
MA90,greedy_ssm,384,1,0100000111110110,9.56595,9.89635,9.89635,10.16834,0.06023
MA90,greedy_ssm,384,1,0100001001100011,9.33445,9.92241,9.92241,10.13398,0.06023
MA90,greedy_ssm,384,1,0100001010010111,8.92914,9.65454,9.65454,9.78377,0.06023
MA90,greedy_ssm,384,1,0100001011101000,9.3891,9.90232,9.90232,10.09522,0.06023
MA90,greedy_ssm,384,1,0100001100000011,8.99045,9.73187,9.73187,10.11936,0.06023
MA90,greedy_ssm,384,1,0100001100001110,8.86674,9.71689,9.71689,9.98558,0.06023
MA90,greedy_ssm,384,1,0100001100010100,8.97441,9.72057,9.72057,10.06807,0.06023
MA90,greedy_ssm,384,1,0100001100011101,9.03874,9.77589,9.77589,10.07772,0.06023
MA90,greedy_ssm,384,1,0100001101110110,9.71792,9.89403,9.89403,10.06807,0.06023
MA90,greedy_ssm,384,1,0100001110101111,9.64761,10.02825,10.02825,10.12959,0.06023
MA90,greedy_ssm,384,1,0100001111011010,9.17254,9.76586,9.76586,10.07426,0.06023
MA90,greedy_ssm,384,1,0100010000010110,8.41068,9.15164,9.15164,9.71357,0.06023
MA90,greedy_ssm,384,1,0100010000100001,9.05752,9.67909,9.67909,9.99328,0.06023
MA90,greedy_ssm,384,1,0100010100010011,8.76037,9.65699,9.65699,9.9693,0.06023
MA90,greedy_ssm,384,1,0100010100010111,8.74683,9.61255,9.61255,10.03033,0.06023
MA90,greedy_ssm,384,1,0100010111000110,8.97919,9.68059,9.68059,10.07145,0.06023
MA90,greedy_ssm,384,1,0100010111101111,9.65058,10.10161,10.10161,10.49653,0.06023
MA90,greedy_ssm,384,1,0100011000101010,8.95183,9.58579,9.58579,9.96807,0.06023
MA90,greedy_ssm,384,1,0100011000110010,8.93194,9.56036,9.56036,9.91458,0.06023
MA90,greedy_ssm,384,1,0100011001101010,9.21145,9.86941,9.86941,10.08769,0.06023
MA90,greedy_ssm,384,1,0100011001110100,9.25968,9.89293,9.89293,10.06807,0.06023
MA90,greedy_ssm,384,1,0100011010010001,8.87465,9.64562,9.64562,9.94998,0.06023
MA90,greedy_ssm,384,1,0100011100001010,8.84108,9.64601,9.64601,9.95677,0.06023
MA90,greedy_ssm,384,1,0100011100100000,9.62111,9.96679,9.96679,10.08619,0.06023
MA90,greedy_ssm,384,1,0100011111011111,9.44168,9.82924,9.82924,10.12126,0.06023
MA90,greedy_ssm,384,1,0100100010000010,8.47716,9.13336,9.13336,9.73732,0.06023
MA90,greedy_ssm,384,1,0100100010010111,8.61423,9.35734,9.35734,9.81029,0.06023
MA90,greedy_ssm,384,1,0100100101011100,9.22641,9.76528,9.76528,10.0083,0.06023
MA90,greedy_ssm,384,1,0100100111011001,9.23261,9.80188,9.80188,10.02099,0.06023
MA90,greedy_ssm,384,1,0100101000011000,8.84976,9.53625,9.53625,9.85312,0.06023
MA90,greedy_ssm,384,1,0100101000111110,9.00319,9.50397,9.50397,9.85657,0.06023
MA90,greedy_ssm,384,1,0100101001100111,9.37893,9.87441,9.87441,10.05422,0.06023
